experiment: absbar
  instrument        absbar   trial seed 0000000001352d7c   1214 trials
                    another probe is another trial sequence: its numbers
                    are not comparable with these (~0.05 at 300 trials)
  question          `travelsweep` found the shipped bar is BIT-IDENTICALLY
                    blind to target distance past ~0.6 log units: it is an
                    EMA of the creature's own error, and a further target
  [22/324] seed 2 absquad-0.89  delivered +0.1850  praise 0.018  err 0.3831
  [23/324] seed 2 absquad-1.20  delivered -0.0518  praise 0.000  err 0.6627
  [25/324] seed 2 abshard-0.89  delivered -0.0924  praise 0.000  err 0.5250
  [26/324] seed 2 abshard-1.20  delivered -0.1034  praise 0.000  err 0.6900
  [29/324] seed 3 shipped-1.20  delivered +0.2187  praise 0.547  err 0.5229
  [28/324] seed 3 shipped-0.89  delivered +0.2187  praise 0.547  err 0.3679
  [27/324] seed 2 abshard-rnd   delivered -0.1255  praise 0.005  err 0.4752
  [30/324] seed 3 shipped-rnd   delivered -0.0666  praise 0.501  err 0.4764
  [31/324] seed 3 absquad-0.89  delivered +0.1876  praise 0.029  err 0.3798
  [33/324] seed 3 absquad-rnd   delivered +0.0498  praise 0.007  err 0.4802
  [34/324] seed 3 abshard-0.89  delivered +0.0854  praise 0.002  err 0.4617
  [32/324] seed 3 absquad-1.20  delivered +0.2174  praise 0.000  err 0.5625
  [35/324] seed 3 abshard-1.20  delivered +0.0241  praise 0.000  err 0.6414
  [36/324] seed 3 abshard-rnd   delivered +0.0429  praise 0.001  err 0.5191
  [38/324] seed 4 shipped-1.20  delivered +0.2913  praise 0.547  err 0.4840
  [37/324] seed 4 shipped-0.89  delivered +0.2913  praise 0.547  err 0.3290
  [40/324] seed 4 absquad-0.89  delivered +0.2502  praise 0.085  err 0.3481
  [42/324] seed 4 absquad-rnd   delivered +0.1485  praise 0.008  err 0.4826
  [41/324] seed 4 absquad-1.20  delivered +0.0552  praise 0.000  err 0.6020
  [39/324] seed 4 shipped-rnd   delivered -0.0017  praise 0.504  err 0.4739
  [44/324] seed 4 abshard-1.20  delivered -0.0794  praise 0.000  err 0.6857
  [43/324] seed 4 abshard-0.89  delivered +0.1235  praise 0.007  err 0.4217
  [45/324] seed 4 abshard-rnd   delivered +0.1204  praise 0.004  err 0.4768
  [48/324] seed 5 shipped-rnd   delivered -0.1698  praise 0.498  err 0.5131
  [49/324] seed 5 absquad-0.89  delivered +0.1656  praise 0.018  err 0.3922
  [46/324] seed 5 shipped-0.89  delivered +0.2796  praise 0.567  err 0.3457
  [47/324] seed 5 shipped-1.20  delivered +0.2796  praise 0.567  err 0.5007
  [50/324] seed 5 absquad-1.20  delivered +0.0090  praise 0.000  err 0.6612
  [51/324] seed 5 absquad-rnd   delivered -0.1464  praise 0.014  err 0.4768
  [53/324] seed 5 abshard-1.20  delivered -0.0749  praise 0.000  err 0.6727
  [52/324] seed 5 abshard-0.89  delivered -0.0749  praise 0.000  err 0.5177
  [54/324] seed 5 abshard-rnd   delivered -0.0651  praise 0.009  err 0.4828
  [55/324] seed 6 shipped-0.89  delivered +0.3091  praise 0.549  err 0.3234
  [58/324] seed 6 absquad-0.89  delivered +0.2771  praise 0.125  err 0.3334
  [59/324] seed 6 absquad-1.20  delivered +0.1710  praise 0.000  err 0.5521
  [56/324] seed 6 shipped-1.20  delivered +0.3091  praise 0.549  err 0.4784
  [60/324] seed 6 absquad-rnd   delivered -0.0781  praise 0.001  err 0.4837
  [57/324] seed 6 shipped-rnd   delivered +0.0172  praise 0.519  err 0.4748
  [62/324] seed 6 abshard-1.20  delivered -0.0981  praise 0.000  err 0.6756
  [63/324] seed 6 abshard-rnd   delivered +0.0199  praise 0.000  err 0.4774
  [61/324] seed 6 abshard-0.89  delivered -0.0981  praise 0.000  err 0.5206
  [65/324] seed 7 shipped-1.20  delivered +0.2507  praise 0.576  err 0.5040
  [67/324] seed 7 absquad-0.89  delivered +0.2322  praise 0.073  err 0.3556
  [64/324] seed 7 shipped-0.89  delivered +0.2507  praise 0.576  err 0.3490
  [66/324] seed 7 shipped-rnd   delivered -0.0538  praise 0.525  err 0.4712
  [68/324] seed 7 absquad-1.20  delivered +0.0851  praise 0.000  err 0.5900
  [71/324] seed 7 abshard-1.20  delivered -0.0802  praise 0.000  err 0.6764
  [72/324] seed 7 abshard-rnd   delivered -0.0302  praise 0.002  err 0.4790
  [69/324] seed 7 absquad-rnd   delivered -0.0455  praise 0.003  err 0.4794
  [70/324] seed 7 abshard-0.89  delivered -0.0802  praise 0.000  err 0.5214
  [74/324] seed 8 shipped-1.20  delivered +0.2744  praise 0.551  err 0.4892
  [73/324] seed 8 shipped-0.89  delivered +0.2744  praise 0.551  err 0.3342
  [75/324] seed 8 shipped-rnd   delivered +0.0975  praise 0.511  err 0.4729
  [77/324] seed 8 absquad-1.20  delivered -0.0226  praise 0.000  err 0.6454
  [76/324] seed 8 absquad-0.89  delivered +0.2232  praise 0.077  err 0.3612
  [80/324] seed 8 abshard-1.20  delivered -0.0951  praise 0.000  err 0.6796
  [79/324] seed 8 abshard-0.89  delivered -0.0951  praise 0.000  err 0.5246
  [82/324] seed 9 shipped-0.89  delivered +0.3396  praise 0.576  err 0.2999
  [78/324] seed 8 absquad-rnd   delivered +0.1446  praise 0.011  err 0.4741
  [83/324] seed 9 shipped-1.20  delivered +0.3396  praise 0.576  err 0.4549
  [81/324] seed 8 abshard-rnd   delivered -0.1498  praise 0.016  err 0.4806
  [84/324] seed 9 shipped-rnd   delivered -0.0033  praise 0.519  err 0.4770
  [87/324] seed 9 absquad-rnd   delivered +0.1544  praise 0.010  err 0.4720
  [88/324] seed 9 abshard-0.89  delivered +0.0294  praise 0.001  err 0.4604
  [85/324] seed 9 absquad-0.89  delivered +0.2585  praise 0.164  err 0.3457
  [86/324] seed 9 absquad-1.20  delivered +0.1214  praise 0.000  err 0.5800
  [89/324] seed 9 abshard-1.20  delivered +0.1507  praise 0.000  err 0.5530
  [90/324] seed 9 abshard-rnd   delivered +0.0160  praise 0.000  err 0.4828
  [92/324] seed 10 shipped-1.20  delivered +0.2936  praise 0.570  err 0.4795
  [91/324] seed 10 shipped-0.89  delivered +0.2936  praise 0.570  err 0.3245
  [95/324] seed 10 absquad-1.20  delivered +0.0475  praise 0.000  err 0.6409
  [94/324] seed 10 absquad-0.89  delivered +0.2827  praise 0.177  err 0.3313
  [93/324] seed 10 shipped-rnd   delivered -0.0103  praise 0.527  err 0.4769
  [96/324] seed 10 absquad-rnd   delivered -0.0060  praise 0.003  err 0.4746
  [97/324] seed 10 abshard-0.89  delivered +0.1300  praise 0.024  err 0.4137
  [98/324] seed 10 abshard-1.20  delivered -0.0291  praise 0.000  err 0.6642
  [100/324] seed 11 shipped-0.89  delivered +0.2257  praise 0.563  err 0.3658
  [102/324] seed 11 shipped-rnd   delivered -0.1417  praise 0.523  err 0.4771
  [101/324] seed 11 shipped-1.20  delivered +0.2257  praise 0.563  err 0.5208
  [99/324] seed 10 abshard-rnd   delivered +0.0668  praise 0.001  err 0.4862
  [103/324] seed 11 absquad-0.89  delivered +0.1994  praise 0.035  err 0.3726
  [105/324] seed 11 absquad-rnd   delivered +0.0357  praise 0.006  err 0.4878
  [107/324] seed 11 abshard-1.20  delivered -0.0651  praise 0.000  err 0.6638
  [104/324] seed 11 absquad-1.20  delivered -0.0095  praise 0.000  err 0.6440
  [108/324] seed 11 abshard-rnd   delivered +0.0458  praise 0.000  err 0.4905
  [110/324] seed 12 shipped-1.20  delivered +0.1038  praise 0.530  err 0.5792
  [106/324] seed 11 abshard-0.89  delivered +0.2300  praise 0.076  err 0.3609
  [111/324] seed 12 shipped-rnd   delivered +0.0102  praise 0.531  err 0.4705
  [109/324] seed 12 shipped-0.89  delivered +0.1038  praise 0.530  err 0.4242
  [112/324] seed 12 absquad-0.89  delivered +0.1630  praise 0.029  err 0.3989
  [113/324] seed 12 absquad-1.20  delivered +0.0031  praise 0.000  err 0.6504
  [116/324] seed 12 abshard-1.20  delivered +0.0237  praise 0.000  err 0.6215
  [114/324] seed 12 absquad-rnd   delivered +0.0259  praise 0.002  err 0.4770
  [115/324] seed 12 abshard-0.89  delivered +0.0311  praise 0.004  err 0.4755
  [119/324] seed 13 shipped-1.20  delivered +0.2303  praise 0.561  err 0.5291
  [118/324] seed 13 shipped-0.89  delivered +0.2303  praise 0.561  err 0.3741
  [121/324] seed 13 absquad-0.89  delivered +0.2795  praise 0.134  err 0.3416
  [117/324] seed 12 abshard-rnd   delivered +0.0296  praise 0.002  err 0.4851
  [120/324] seed 13 shipped-rnd   delivered +0.0747  praise 0.549  err 0.4845
  [122/324] seed 13 absquad-1.20  delivered +0.1400  praise 0.000  err 0.5835
  [123/324] seed 13 absquad-rnd   delivered +0.1868  praise 0.020  err 0.4875
  [125/324] seed 13 abshard-1.20  delivered -0.0466  praise 0.000  err 0.6742
  [124/324] seed 13 abshard-0.89  delivered +0.0176  praise 0.000  err 0.4889
  [127/324] seed 14 shipped-0.89  delivered +0.2877  praise 0.567  err 0.3262
  [126/324] seed 13 abshard-rnd   delivered +0.0967  praise 0.003  err 0.5012
  [128/324] seed 14 shipped-1.20  delivered +0.2877  praise 0.567  err 0.4812
  [130/324] seed 14 absquad-0.89  delivered +0.2496  praise 0.080  err 0.3467
  [131/324] seed 14 absquad-1.20  delivered +0.0243  praise 0.000  err 0.6519
  [129/324] seed 14 shipped-rnd   delivered +0.0344  praise 0.527  err 0.4737
  [132/324] seed 14 absquad-rnd   delivered +0.0720  praise 0.002  err 0.4780
  [133/324] seed 14 abshard-0.89  delivered -0.0293  praise 0.000  err 0.4904
  [134/324] seed 14 abshard-1.20  delivered -0.0293  praise 0.000  err 0.6454
  [135/324] seed 14 abshard-rnd   delivered -0.1738  praise 0.033  err 0.4712
  [137/324] seed 15 shipped-1.20  delivered +0.2969  praise 0.555  err 0.4848
  [136/324] seed 15 shipped-0.89  delivered +0.2969  praise 0.555  err 0.3298
  [139/324] seed 15 absquad-0.89  delivered +0.1945  praise 0.051  err 0.3823
  [140/324] seed 15 absquad-1.20  delivered +0.3280  praise 0.000  err 0.5405
  [141/324] seed 15 absquad-rnd   delivered +0.0914  praise 0.011  err 0.4774
  [138/324] seed 15 shipped-rnd   delivered -0.0639  praise 0.509  err 0.4767
  [142/324] seed 15 abshard-0.89  delivered -0.0214  praise 0.004  err 0.4941
  [143/324] seed 15 abshard-1.20  delivered +0.0580  praise 0.000  err 0.6034
  [145/324] seed 16 shipped-0.89  delivered -0.0753  praise 0.546  err 0.5269
  [144/324] seed 15 abshard-rnd   delivered -0.0411  praise 0.004  err 0.4864
  [148/324] seed 16 absquad-0.89  delivered +0.1907  praise 0.034  err 0.3958
  [146/324] seed 16 shipped-1.20  delivered -0.0753  praise 0.546  err 0.6819
  [147/324] seed 16 shipped-rnd   delivered -0.0851  praise 0.536  err 0.4966
  [150/324] seed 16 absquad-rnd   delivered +0.0694  praise 0.008  err 0.4819
  [149/324] seed 16 absquad-1.20  delivered +0.1252  praise 0.000  err 0.5697
  [152/324] seed 16 abshard-1.20  delivered +0.0595  praise 0.000  err 0.6111
  [155/324] seed 17 shipped-1.20  delivered +0.2967  praise 0.548  err 0.4952
  [151/324] seed 16 abshard-0.89  delivered +0.0657  praise 0.006  err 0.4605
  [157/324] seed 17 absquad-0.89  delivered +0.2283  praise 0.071  err 0.3612
  [156/324] seed 17 shipped-rnd   delivered -0.0389  praise 0.533  err 0.4820
  [154/324] seed 17 shipped-0.89  delivered +0.2967  praise 0.548  err 0.3402
  [153/324] seed 16 abshard-rnd   delivered +0.0030  praise 0.009  err 0.5131
  [159/324] seed 17 absquad-rnd   delivered +0.0096  praise 0.002  err 0.4932
  [158/324] seed 17 absquad-1.20  delivered +0.0076  praise 0.000  err 0.6538
  [162/324] seed 17 abshard-rnd   delivered +0.0952  praise 0.013  err 0.4713
  [161/324] seed 17 abshard-1.20  delivered +0.0236  praise 0.000  err 0.6383
  [164/324] seed 18 shipped-1.20  delivered +0.3447  praise 0.575  err 0.4551
  [160/324] seed 17 abshard-0.89  delivered -0.0271  praise 0.001  err 0.5025
  [163/324] seed 18 shipped-0.89  delivered +0.3447  praise 0.575  err 0.3001
  [165/324] seed 18 shipped-rnd   delivered -0.0347  praise 0.522  err 0.4704
  [167/324] seed 18 absquad-1.20  delivered -0.0308  praise 0.000  err 0.6658
  [166/324] seed 18 absquad-0.89  delivered +0.2506  praise 0.118  err 0.3529
  [169/324] seed 18 abshard-0.89  delivered -0.0650  praise 0.000  err 0.5070
  [168/324] seed 18 absquad-rnd   delivered -0.0543  praise 0.001  err 0.4809
  [170/324] seed 18 abshard-1.20  delivered -0.0618  praise 0.000  err 0.6640
  [171/324] seed 18 abshard-rnd   delivered +0.0063  praise 0.002  err 0.4807
  [172/324] seed 19 shipped-0.89  delivered +0.3150  praise 0.559  err 0.3143
  [173/324] seed 19 shipped-1.20  delivered +0.3150  praise 0.559  err 0.4693
  [175/324] seed 19 absquad-0.89  delivered +0.2058  praise 0.051  err 0.3690
  [178/324] seed 19 abshard-0.89  delivered +0.1560  praise 0.016  err 0.4023
  [174/324] seed 19 shipped-rnd   delivered -0.0649  praise 0.508  err 0.4751
  [179/324] seed 19 abshard-1.20  delivered +0.0745  praise 0.000  err 0.6004
  [180/324] seed 19 abshard-rnd   delivered -0.0232  praise 0.001  err 0.4741
  [176/324] seed 19 absquad-1.20  delivered +0.0550  praise 0.000  err 0.6155
  [177/324] seed 19 absquad-rnd   delivered +0.0176  praise 0.002  err 0.4730
  [182/324] seed 20 shipped-1.20  delivered +0.2988  praise 0.569  err 0.4762
  [181/324] seed 20 shipped-0.89  delivered +0.2988  praise 0.569  err 0.3212
  [183/324] seed 20 shipped-rnd   delivered -0.0944  praise 0.507  err 0.4766
  [187/324] seed 20 abshard-0.89  delivered -0.0373  praise 0.000  err 0.5143
  [184/324] seed 20 absquad-0.89  delivered +0.1923  praise 0.045  err 0.3749
  [185/324] seed 20 absquad-1.20  delivered -0.0486  praise 0.000  err 0.6643
  [186/324] seed 20 absquad-rnd   delivered -0.1201  praise 0.002  err 0.4771
  [188/324] seed 20 abshard-1.20  delivered -0.0373  praise 0.000  err 0.6693
  [189/324] seed 20 abshard-rnd   delivered +0.1434  praise 0.014  err 0.4760
  [190/324] seed 21 shipped-0.89  delivered +0.2599  praise 0.555  err 0.3491
  [191/324] seed 21 shipped-1.20  delivered +0.2599  praise 0.555  err 0.5041
  [193/324] seed 21 absquad-0.89  delivered +0.2794  praise 0.137  err 0.3348
  [192/324] seed 21 shipped-rnd   delivered -0.0981  praise 0.540  err 0.4793
  [195/324] seed 21 absquad-rnd   delivered +0.1332  praise 0.004  err 0.4821
  [194/324] seed 21 absquad-1.20  delivered +0.1217  praise 0.000  err 0.5830
  [196/324] seed 21 abshard-0.89  delivered -0.1130  praise 0.001  err 0.5484
  [197/324] seed 21 abshard-1.20  delivered -0.0910  praise 0.000  err 0.6873
  [200/324] seed 22 shipped-1.20  delivered +0.3106  praise 0.561  err 0.4727
  [199/324] seed 22 shipped-0.89  delivered +0.3106  praise 0.561  err 0.3177
  [198/324] seed 21 abshard-rnd   delivered +0.0649  praise 0.002  err 0.4805
  [202/324] seed 22 absquad-0.89  delivered +0.2559  praise 0.081  err 0.3453
  [204/324] seed 22 absquad-rnd   delivered +0.1303  praise 0.002  err 0.4862
  [201/324] seed 22 shipped-rnd   delivered +0.1037  praise 0.508  err 0.4788
  [203/324] seed 22 absquad-1.20  delivered +0.1020  praise 0.000  err 0.5833
  [206/324] seed 22 abshard-1.20  delivered +0.0538  praise 0.000  err 0.6121
  [207/324] seed 22 abshard-rnd   delivered -0.0663  praise 0.002  err 0.5239
  [205/324] seed 22 abshard-0.89  delivered +0.1625  praise 0.009  err 0.3961
  [208/324] seed 23 shipped-0.89  delivered +0.3029  praise 0.583  err 0.3221
  [209/324] seed 23 shipped-1.20  delivered +0.3029  praise 0.583  err 0.4771
  [210/324] seed 23 shipped-rnd   delivered +0.0078  praise 0.537  err 0.4752
  [211/324] seed 23 absquad-0.89  delivered +0.2353  praise 0.071  err 0.3558
  [213/324] seed 23 absquad-rnd   delivered +0.0597  praise 0.000  err 0.4763
  [212/324] seed 23 absquad-1.20  delivered -0.0129  praise 0.000  err 0.6378
  [215/324] seed 23 abshard-1.20  delivered -0.0209  praise 0.000  err 0.6426
  [217/324] seed 24 shipped-0.89  delivered +0.2315  praise 0.554  err 0.3552
  [216/324] seed 23 abshard-rnd   delivered -0.1256  praise 0.013  err 0.4772
  [214/324] seed 23 abshard-0.89  delivered -0.0059  praise 0.000  err 0.4867
  [218/324] seed 24 shipped-1.20  delivered +0.2315  praise 0.554  err 0.5102
  [219/324] seed 24 shipped-rnd   delivered -0.0654  praise 0.519  err 0.4746
  [220/324] seed 24 absquad-0.89  delivered +0.1369  praise 0.014  err 0.4048
  [221/324] seed 24 absquad-1.20  delivered -0.1094  praise 0.000  err 0.7123
  [226/324] seed 25 shipped-0.89  delivered +0.3099  praise 0.552  err 0.3184
  [224/324] seed 24 abshard-1.20  delivered +0.0936  praise 0.000  err 0.6092
  [225/324] seed 24 abshard-rnd   delivered +0.0972  praise 0.004  err 0.4693
  [222/324] seed 24 absquad-rnd   delivered +0.0613  praise 0.002  err 0.4916
  [223/324] seed 24 abshard-0.89  delivered +0.1080  praise 0.014  err 0.4482
  [228/324] seed 25 shipped-rnd   delivered -0.0398  praise 0.526  err 0.4785
  [227/324] seed 25 shipped-1.20  delivered +0.3099  praise 0.552  err 0.4734
  [229/324] seed 25 absquad-0.89  delivered +0.2893  praise 0.190  err 0.3247
  [230/324] seed 25 absquad-1.20  delivered +0.1978  praise 0.000  err 0.5286
  [231/324] seed 25 absquad-rnd   delivered -0.0184  praise 0.001  err 0.4720
  [235/324] seed 26 shipped-0.89  delivered +0.3208  praise 0.577  err 0.3151
  [232/324] seed 25 abshard-0.89  delivered +0.0561  praise 0.003  err 0.4669
  [234/324] seed 25 abshard-rnd   delivered +0.0097  praise 0.000  err 0.4841
  [233/324] seed 25 abshard-1.20  delivered -0.0067  praise 0.000  err 0.6574
  [237/324] seed 26 shipped-rnd   delivered -0.0372  praise 0.519  err 0.4797
  [236/324] seed 26 shipped-1.20  delivered +0.3208  praise 0.577  err 0.4701
  [239/324] seed 26 absquad-1.20  delivered -0.0261  praise 0.000  err 0.6545
  [238/324] seed 26 absquad-0.89  delivered +0.2593  praise 0.088  err 0.3437
  [240/324] seed 26 absquad-rnd   delivered +0.2096  praise 0.009  err 0.5068
  [242/324] seed 26 abshard-1.20  delivered -0.0301  praise 0.000  err 0.6538
  [243/324] seed 26 abshard-rnd   delivered +0.0075  praise 0.000  err 0.4805
  [241/324] seed 26 abshard-0.89  delivered +0.0094  praise 0.001  err 0.4789
  [244/324] seed 27 shipped-0.89  delivered +0.3338  praise 0.578  err 0.3077
  [245/324] seed 27 shipped-1.20  delivered +0.3338  praise 0.578  err 0.4627
  [246/324] seed 27 shipped-rnd   delivered +0.0855  praise 0.510  err 0.4755
  [248/324] seed 27 absquad-1.20  delivered -0.0026  praise 0.000  err 0.6357
  [247/324] seed 27 absquad-0.89  delivered +0.2480  praise 0.111  err 0.3448
  [250/324] seed 27 abshard-0.89  delivered -0.0848  praise 0.001  err 0.5201
  [249/324] seed 27 absquad-rnd   delivered -0.0158  praise 0.003  err 0.4695
  [254/324] seed 28 shipped-1.20  delivered +0.2605  praise 0.527  err 0.5011
  [256/324] seed 28 absquad-0.89  delivered +0.2526  praise 0.072  err 0.3504
  [253/324] seed 28 shipped-0.89  delivered +0.2605  praise 0.527  err 0.3461
  [252/324] seed 27 abshard-rnd   delivered +0.0053  praise 0.003  err 0.4782
  [251/324] seed 27 abshard-1.20  delivered -0.0251  praise 0.000  err 0.6386
  [255/324] seed 28 shipped-rnd   delivered +0.0027  praise 0.510  err 0.4813
  [257/324] seed 28 absquad-1.20  delivered +0.2533  praise 0.000  err 0.5539
  [258/324] seed 28 absquad-rnd   delivered +0.0200  praise 0.003  err 0.4934
  [259/324] seed 28 abshard-0.89  delivered +0.0007  praise 0.000  err 0.4837
  [260/324] seed 28 abshard-1.20  delivered +0.1086  praise 0.000  err 0.5750
  [262/324] seed 29 shipped-0.89  delivered +0.2533  praise 0.552  err 0.3482
  [264/324] seed 29 shipped-rnd   delivered +0.0007  praise 0.521  err 0.4778
  [261/324] seed 28 abshard-rnd   delivered +0.1054  praise 0.004  err 0.4790
  [263/324] seed 29 shipped-1.20  delivered +0.2533  praise 0.552  err 0.5032
  [265/324] seed 29 absquad-0.89  delivered +0.1939  praise 0.039  err 0.3810
  [266/324] seed 29 absquad-1.20  delivered +0.1837  praise 0.000  err 0.5573
  [267/324] seed 29 absquad-rnd   delivered +0.1457  praise 0.014  err 0.4825
  [269/324] seed 29 abshard-1.20  delivered +0.0407  praise 0.000  err 0.6162
  [268/324] seed 29 abshard-0.89  delivered +0.0336  praise 0.004  err 0.4612
  [271/324] seed 30 shipped-0.89  delivered +0.3132  praise 0.564  err 0.3223
  [270/324] seed 29 abshard-rnd   delivered -0.0436  praise 0.001  err 0.4902
  [273/324] seed 30 shipped-rnd   delivered -0.0844  praise 0.503  err 0.4671
  [272/324] seed 30 shipped-1.20  delivered +0.3132  praise 0.564  err 0.4773
  [276/324] seed 30 absquad-rnd   delivered +0.1433  praise 0.010  err 0.4863
  [275/324] seed 30 absquad-1.20  delivered +0.1214  praise 0.000  err 0.5724
  [274/324] seed 30 absquad-0.89  delivered +0.2351  praise 0.060  err 0.3516
  [278/324] seed 30 abshard-1.20  delivered -0.0728  praise 0.000  err 0.6780
  [279/324] seed 30 abshard-rnd   delivered +0.0537  praise 0.000  err 0.4997
  [281/324] seed 31 shipped-1.20  delivered +0.2679  praise 0.568  err 0.4956
  [280/324] seed 31 shipped-0.89  delivered +0.2679  praise 0.568  err 0.3406
  [277/324] seed 30 abshard-0.89  delivered +0.0423  praise 0.001  err 0.4804
  [282/324] seed 31 shipped-rnd   delivered +0.0149  praise 0.536  err 0.4774
  [287/324] seed 31 abshard-1.20  delivered +0.1396  praise 0.000  err 0.5670
  [285/324] seed 31 absquad-rnd   delivered -0.0211  praise 0.003  err 0.4811
  [286/324] seed 31 abshard-0.89  delivered +0.0293  praise 0.001  err 0.4651
  [283/324] seed 31 absquad-0.89  delivered +0.1721  praise 0.014  err 0.3955
  [284/324] seed 31 absquad-1.20  delivered +0.1560  praise 0.000  err 0.5586
  [289/324] seed 32 shipped-0.89  delivered +0.3222  praise 0.580  err 0.3121
  [288/324] seed 31 abshard-rnd   delivered +0.0564  praise 0.002  err 0.5095
  [290/324] seed 32 shipped-1.20  delivered +0.3222  praise 0.580  err 0.4671
  [295/324] seed 32 abshard-0.89  delivered +0.0611  praise 0.000  err 0.4501
  [291/324] seed 32 shipped-rnd   delivered -0.0181  praise 0.531  err 0.4729
  [294/324] seed 32 absquad-rnd   delivered -0.0919  praise 0.000  err 0.4746
  [293/324] seed 32 absquad-1.20  delivered -0.0696  praise 0.000  err 0.6711
  [292/324] seed 32 absquad-0.89  delivered +0.2278  praise 0.063  err 0.3614
  [296/324] seed 32 abshard-1.20  delivered +0.0611  praise 0.000  err 0.6051
  [297/324] seed 32 abshard-rnd   delivered +0.0396  praise 0.000  err 0.4779
  [299/324] seed 33 shipped-1.20  delivered +0.2862  praise 0.571  err 0.4843
  [300/324] seed 33 shipped-rnd   delivered +0.1149  praise 0.514  err 0.4765
  [298/324] seed 33 shipped-0.89  delivered +0.2862  praise 0.571  err 0.3293
  [301/324] seed 33 absquad-0.89  delivered +0.2254  praise 0.086  err 0.3611
  [302/324] seed 33 absquad-1.20  delivered +0.1021  praise 0.000  err 0.5943
  [303/324] seed 33 absquad-rnd   delivered +0.0215  praise 0.000  err 0.4740
  [305/324] seed 33 abshard-1.20  delivered +0.1376  praise 0.000  err 0.5664
  [304/324] seed 33 abshard-0.89  delivered +0.1594  praise 0.006  err 0.4034
  [308/324] seed 34 shipped-1.20  delivered +0.1920  praise 0.541  err 0.5339
  [306/324] seed 33 abshard-rnd   delivered -0.0917  praise 0.000  err 0.4893
  [309/324] seed 34 shipped-rnd   delivered +0.0262  praise 0.504  err 0.4749
  [307/324] seed 34 shipped-0.89  delivered +0.1920  praise 0.541  err 0.3789
  [310/324] seed 34 absquad-0.89  delivered +0.2402  praise 0.109  err 0.3512
  [312/324] seed 34 absquad-rnd   delivered -0.0043  praise 0.001  err 0.4776
  [313/324] seed 34 abshard-0.89  delivered -0.0168  praise 0.001  err 0.4837
  [311/324] seed 34 absquad-1.20  delivered +0.0761  praise 0.000  err 0.6446
  [316/324] seed 35 shipped-0.89  delivered +0.2915  praise 0.551  err 0.3245
  [315/324] seed 34 abshard-rnd   delivered +0.0241  praise 0.000  err 0.4912
